; Bank 0 - World Map Tiles
; obj_domain, min_value, max_value, bmp_width, bmp_height, generator type, end type, is_4bytes, obj_descript | enemy_handle_x enemy_handle_y, enemy_handle_x2, <obj_design[]>
0, 0x00, 0x00, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, White Mario Finished Stage, <$00>
0, 0x01, 0x01, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, White Luigi Finished Stage, <$01>
0, 0x02, 0x02, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Black Square, <$02>
0, 0x03, 0x03, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 1, <$03>
0, 0x04, 0x04, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 2, <$04>
0, 0x05, 0x05, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 3, <$05>
0, 0x06, 0x06, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 4, <$06>
0, 0x07, 0x07, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 5, <$07>
0, 0x08, 0x08, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 6, <$08>
0, 0x09, 0x09, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 7, <$09>
0, 0x0A, 0x0A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 8, <$0A>
0, 0x0B, 0x0B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 9, <$0B>
0, 0x0C, 0x0C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Level 10, <$0C>
0, 0x0D, 0x0D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Level 1, <$0D>
0, 0x0E, 0x0E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Level 2, <$0E>
0, 0x0F, 0x0F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Level 3, <$0F>
0, 0x10, 0x10, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Level 4, <$10>
0, 0x11, 0x11, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Level 5, <$11>
0, 0x12, 0x12, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Level 6, <$12>
0, 0x13, 0x13, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Level 7, <$13>
0, 0x14, 0x14, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Level 8, <$14>
0, 0x15, 0x15, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Level 9, <$15>
0, 0x16, 0x16, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$02>
0, 0x17, 0x17, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$02>
0, 0x18, 0x18, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$02>
0, 0x19, 0x19, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$02>
0, 0x1A, 0x1A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$02>
0, 0x1B, 0x1B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$02>
0, 0x1C, 0x1C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$02>
0, 0x1D, 0x1D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
